시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,structure_risk
오리초등학교,37.344351,127.115379,0.1524443100318895,-0.0933265432204183,-0.9936786447361424,-0.5000874003977321,-0.0473804340655768,-0.8534058900941088,1.697731977401456,1.210695588900589,0.1168851375999606,-0.2317421377596136,0,1.9192123366499945
청솔초등학교,37.354657,127.1141,0.5608800086078953,-0.6030330485011642,-0.8931067505433183,-0.5000874003977321,-0.4823823001343036,-1.462103456194223,0.2205387127506794,0.2260727461504749,0.1168851375999606,-0.268306801587313,0,0.8730269957454277
당촌초등학교,37.373689,127.131262,0.5608800086078953,-1.2826417222088256,-0.3902472795791977,-0.5000874003977321,-1.3293349139932735,-1.033212996070659,-0.3703385931096312,0.2260727461504749,0.5318273760798209,0.1336732227475159,0,0.036234427217700746
한솔초등학교,37.366777,127.118015,-0.2559913885441162,-1.4525438906357409,-0.7925348563504941,-0.5000874003977321,-2.0015990236302943,-0.2791860437828,-1.5520932048302525,0.2260727461504749,-1.12794157783962,0.0886335584840252,0,-0.6824445676444684
수내초등학교,37.367765,127.124663,-0.2559913885441162,-0.6030330485011642,-0.591391067964846,-0.5000874003977321,-0.8523559374354752,-0.1614435623833238,1.1068546715411454,1.210695588900589,-0.2980571008798995,1.312029523852358,0,0.7789723343921742
성남송현초등학교,37.405458,127.116346,0.1524443100318895,-0.0933265432204183,2.124050075241405,0.7447566621379961,0.1898818095027166,-1.033212996070659,-0.3703385931096312,0.2260727461504749,0.9467696145596812,1.1685808776475637,0,-0.8063881179714169
판교초등학교,37.387282,127.091443,0.5608800086078953,0.9260864673410736,0.9171873449275156,-0.5000874003977321,0.4921722818385661,0.0521584911846189,1.1068546715411454,0.2260727461504749,0.5318273760798209,2.0620388495511897,0,-0.6681741529815697
성남동초등학교,37.449215,127.162178,-1.0728627856961277,1.0959886357679889,-0.1891034911935494,-1.7449314629334605,0.5818161294618577,0.7772595122642638,-0.3703385931096312,0.2260727461504749,-1.12794157783962,-0.0063688930671178,0,-1.1823881220296883
태평초등학교,37.444953,127.131694,2.194622802911918,1.6056951410487346,1.5206187100844606,0.2280996954310509,1.4461302349541634,1.4692218399750487,1.4022933244713005,2.451173666456634,2.191596329999262,-1.5450480132614453,0,-0.8659677651314931
성수초등학교,37.433766,127.127238,-0.2559913885441162,-0.7729352169280795,-0.8931067505433183,1.472943757966779,-2.0015990236302943,1.0214738500280995,-0.6657772460397865,0.2260727461504749,-0.2980571008798995,-1.646130775665628,0,-0.31725778748274713
금빛초등학교,37.447331,127.140567,0.5608800086078953,1.265890804194904,0.5148997681562193,0.2280996954310509,0.898587106952502,2.340991273662384,-0.6657772460397865,0.2260727461504749,0.5318273760798209,-1.5450480132614453,3,0.21465935111212517
성남초등학교,37.446085,127.144145,1.377751405759907,0.4163799620603275,1.3194749216988122,0.7447566621379961,0.397403214365252,1.5545690778473806,-0.0748999401794758,1.210695588900589,0.5318273760798209,-1.5450480132614453,0,-0.1715856685867109
검단초등학교,37.429483,127.144034,0.1524443100318895,0.9260864673410736,-0.8931067505433183,-0.5000874003977321,-0.1800918277984541,0.4127762839279857,-0.0748999401794758,0.2260727461504749,0.1168851375999606,-0.5118980286349629,0,0.24596602588455302
