지역,호선명,상/하행,월,등교_07_08,등교_08_09,하교_15_16,하교_16_17,하교_17_18,등교시간_합계,하교시간_합계,전일합계_평균,관측일수
경기 용인 처인 양지면,일반국도 42호선,상행,6,1174.8,1260.7,905.2,900.8,968.9,2435.5,2774.8,15691.8,30
경기 용인 처인 양지면,일반국도 42호선,상행,7,1234.8,1309.3,885.6,852.5,968.7,2544.1,2706.7,15456.6,31
경기 용인 처인 양지면,일반국도 42호선,상행,8,1185.7,1268.8,892.2,858.5,957.7,2454.5,2708.4,15573.8,31
경기 용인 처인 양지면,일반국도 42호선,상행,9,1103.9,1186.3,889.4,855.0,917.0,2290.2,2661.4,14957.6,30
경기 용인 처인 양지면,일반국도 42호선,상행,10,1195.0,1295.0,916.5,932.3,989.7,2490.1,2838.5,15957.1,31
경기 용인 처인 양지면,일반국도 42호선,상행,11,1218.0,1339.4,939.1,949.1,976.6,2557.4,2864.8,15988.1,30
경기 용인 처인 양지면,일반국도 42호선,상행,12,1123.6,1252.2,913.2,916.7,956.1,2375.8,2786.0,14860.6,31
경기 용인 처인 양지면,일반국도 42호선,하행,1,1198.3,1442.8,1555.3,1641.0,1904.0,2641.2,5100.3,23465.5,62
경기 용인 처인 양지면,일반국도 42호선,하행,2,1147.8,1387.9,1577.7,1638.4,1853.9,2535.8,5070.0,23052.2,58
경기 용인 처인 양지면,일반국도 42호선,하행,3,1264.6,1506.4,1666.0,1736.2,1955.5,2771.0,5357.6,24366.4,62
경기 용인 처인 양지면,일반국도 42호선,하행,4,1356.3,1576.1,1674.8,1768.7,1982.2,2932.4,5425.6,25366.7,60
경기 용인 처인 양지면,일반국도 42호선,하행,5,1323.2,1543.7,1683.7,1781.5,1938.5,2866.9,5403.7,25113.6,62
경기 용인 처인 양지면,일반국도 42호선,하행,6,1284.8,1513.2,1610.4,1705.8,1859.2,2798.0,5175.4,24453.4,60
경기 용인 처인 양지면,일반국도 42호선,하행,7,1346.2,1563.2,1553.6,1626.8,1879.5,2909.3,5059.9,24089.8,62
경기 용인 처인 양지면,일반국도 42호선,하행,8,1280.6,1501.5,1592.8,1648.1,1834.7,2782.1,5075.6,24137.4,62
경기 용인 처인 양지면,일반국도 42호선,하행,9,1224.8,1410.4,1589.8,1661.8,1800.7,2635.2,5052.3,23625.4,60
경기 용인 처인 양지면,일반국도 42호선,하행,10,1330.0,1537.2,1677.7,1803.3,1948.6,2867.2,5429.5,24967.8,62
경기 용인 처인 양지면,일반국도 42호선,하행,11,1333.0,1559.3,1730.5,1864.2,1955.6,2892.3,5550.2,25126.3,60
경기 용인 처인 양지면,일반국도 42호선,하행,12,1217.3,1446.6,1627.0,1712.0,1840.8,2663.9,5179.9,23120.2,62
경기 용인 처인 원삼면,일반국도 17호선,상행,1,455.2,634.1,1014.3,1030.4,1064.8,1089.3,3109.5,13135.3,31
경기 용인 처인 원삼면,일반국도 17호선,상행,2,440.9,600.2,1070.0,1121.6,1182.8,1041.1,3374.3,13719.6,29
경기 용인 처인 원삼면,일반국도 17호선,상행,3,538.1,687.8,1142.8,1216.0,1367.9,1225.9,3726.6,15173.9,31
경기 용인 처인 원삼면,일반국도 17호선,상행,4,570.2,711.1,1168.1,1249.8,1426.3,1281.3,3844.3,16275.4,30
경기 용인 처인 원삼면,일반국도 17호선,상행,5,559.9,708.8,1212.2,1272.5,1414.0,1268.7,3898.6,16488.8,31
경기 용인 처인 원삼면,일반국도 17호선,상행,6,554.9,708.9,1158.5,1230.7,1353.3,1263.8,3742.5,16012.7,30
경기 용인 처인 원삼면,일반국도 17호선,상행,7,560.7,709.3,1073.0,1125.7,1297.4,1270.0,3496.1,15114.3,31
경기 용인 처인 원삼면,일반국도 17호선,상행,8,554.0,708.3,1118.3,1229.1,1357.8,1262.3,3705.2,15635.3,31
